Using device: cuda
Random seed set to: 42

Loading causal model (encoder source) from /snel/home/cbwash2/cleo/results/causal_z64_pw200_h128_lr3e4/model.pt...
  n_x=50, n_u=2, z_dim=64, hidden=128, n_layers=2

Loading acausal model from /snel/home/cbwash2/cleo/results/sweep_latent_node_40_10/run_05_z64_h256_l2_lr0.0005_dopri5.pt...
  n_x=50, n_u=2, z_dim=64, hidden=256, n_layers=2

=> Using ACAUSAL ODE (.net MLP) + decoder

================================================================================
EnKF Causal-Init Sweep: ode_source=acausal, obs_delay=10
  6 K × 2 Q × 2 R = 24 configs
  Ensemble size: 64
  Horizon: 200, Stride: 200
  Window batch size: 32
================================================================================

[1/24] K=1, Q=0.01, R=0.01, delay=10
  Trial 40: MSE=0.124392, R²=0.8866
  Trial 41: MSE=0.110301, R²=0.8925
  Trial 42: MSE=0.111771, R²=0.8782
  Trial 43: MSE=0.122007, R²=0.8642
  Trial 44: MSE=0.113646, R²=0.8728
  Trial 45: MSE=0.108397, R²=0.8809
  Trial 46: MSE=0.116440, R²=0.8747
  Trial 47: MSE=0.106611, R²=0.9047
  Trial 48: MSE=0.120090, R²=0.8846
  Trial 49: MSE=0.122458, R²=0.9028
  => R²=0.8842, MSE=0.115611, Time=1173.7ms

[2/24] K=1, Q=0.01, R=0.1, delay=10
  Trial 40: MSE=0.244368, R²=0.7773
  Trial 41: MSE=0.224354, R²=0.7813
  Trial 42: MSE=0.207129, R²=0.7743
  Trial 43: MSE=0.221624, R²=0.7534
  Trial 44: MSE=0.211295, R²=0.7636
  Trial 45: MSE=0.193429, R²=0.7875
  Trial 46: MSE=0.210391, R²=0.7735
  Trial 47: MSE=0.192647, R²=0.8278
  Trial 48: MSE=0.231509, R²=0.7775
  Trial 49: MSE=0.257282, R²=0.7957
  => R²=0.7812, MSE=0.219403, Time=1141.1ms

[3/24] K=1, Q=0.1, R=0.01, delay=10
  Trial 40: MSE=0.120672, R²=0.8900
  Trial 41: MSE=0.105912, R²=0.8967
  Trial 42: MSE=0.108742, R²=0.8815
  Trial 43: MSE=0.118469, R²=0.8682
  Trial 44: MSE=0.110276, R²=0.8766
  Trial 45: MSE=0.105168, R²=0.8845
  Trial 46: MSE=0.113526, R²=0.8778
  Trial 47: MSE=0.103782, R²=0.9072
  Trial 48: MSE=0.116647, R²=0.8879
  Trial 49: MSE=0.118215, R²=0.9061
  => R²=0.8877, MSE=0.112141, Time=1163.4ms

[4/24] K=1, Q=0.1, R=0.1, delay=10
  Trial 40: MSE=0.124508, R²=0.8865
  Trial 41: MSE=0.110453, R²=0.8923
  Trial 42: MSE=0.111916, R²=0.8780
  Trial 43: MSE=0.122118, R²=0.8641
  Trial 44: MSE=0.113802, R²=0.8727
  Trial 45: MSE=0.108532, R²=0.8808
  Trial 46: MSE=0.116512, R²=0.8746
  Trial 47: MSE=0.106760, R²=0.9046
  Trial 48: MSE=0.120212, R²=0.8844
  Trial 49: MSE=0.122632, R²=0.9026
  => R²=0.8841, MSE=0.115744, Time=1161.5ms

[5/24] K=10, Q=0.01, R=0.01, delay=10
  Trial 40: MSE=0.149793, R²=0.8635
  Trial 41: MSE=0.133323, R²=0.8700
  Trial 42: MSE=0.133079, R²=0.8550
  Trial 43: MSE=0.144712, R²=0.8390
  Trial 44: MSE=0.135006, R²=0.8489
  Trial 45: MSE=0.129292, R²=0.8580
  Trial 46: MSE=0.136539, R²=0.8530
  Trial 47: MSE=0.124391, R²=0.8888
  Trial 48: MSE=0.142672, R²=0.8629
  Trial 49: MSE=0.146349, R²=0.8838
  => R²=0.8623, MSE=0.137516, Time=502.8ms

[6/24] K=10, Q=0.01, R=0.1, delay=10
  Trial 40: MSE=0.551927, R²=0.4970
  Trial 41: MSE=0.506467, R²=0.5062
  Trial 42: MSE=0.450415, R²=0.5091
  Trial 43: MSE=0.477418, R²=0.4687
  Trial 44: MSE=0.458325, R²=0.4871
  Trial 45: MSE=0.412136, R²=0.5473
  Trial 46: MSE=0.464266, R²=0.5003
  Trial 47: MSE=0.422315, R²=0.6224
  Trial 48: MSE=0.518485, R²=0.5016
  Trial 49: MSE=0.594559, R²=0.5279
