Using device: cuda
Random seed set to: 42

Loading causal model (encoder source) from /snel/home/cbwash2/cleo/results/causal_z64_pw200_h128_lr3e4/model.pt...
  n_x=50, n_u=2, z_dim=64, hidden=128, n_layers=2

Loading acausal model from /snel/home/cbwash2/cleo/results/sweep_latent_node_40_10/run_05_z64_h256_l2_lr0.0005_dopri5.pt...
  n_x=50, n_u=2, z_dim=64, hidden=256, n_layers=2

=> Using CAUSAL ODE (drift+control) + decoder

================================================================================
EnKF Causal-Init Sweep: ode_source=causal, obs_delay=0
  6 K × 2 Q × 2 R = 24 configs
  Ensemble size: 64
  Horizon: 200, Stride: 200
  Window batch size: 32
================================================================================

[1/24] K=1, Q=0.01, R=0.01, delay=0
  Trial 40: MSE=0.006883, R²=0.9937
  Trial 41: MSE=0.006222, R²=0.9939
  Trial 42: MSE=0.006921, R²=0.9925
  Trial 43: MSE=0.007045, R²=0.9922
  Trial 44: MSE=0.006672, R²=0.9925
  Trial 45: MSE=0.007017, R²=0.9923
  Trial 46: MSE=0.006491, R²=0.9930
  Trial 47: MSE=0.005968, R²=0.9947
  Trial 48: MSE=0.006640, R²=0.9936
  Trial 49: MSE=0.006187, R²=0.9951
  => R²=0.9933, MSE=0.006605, Time=1334.6ms

[2/24] K=1, Q=0.01, R=0.1, delay=0
  Trial 40: MSE=0.044233, R²=0.9597
  Trial 41: MSE=0.037514, R²=0.9634
  Trial 42: MSE=0.041073, R²=0.9552
  Trial 43: MSE=0.042934, R²=0.9522
  Trial 44: MSE=0.039312, R²=0.9560
  Trial 45: MSE=0.042617, R²=0.9532
  Trial 46: MSE=0.037821, R²=0.9593
  Trial 47: MSE=0.033357, R²=0.9702
  Trial 48: MSE=0.040577, R²=0.9610
  Trial 49: MSE=0.039046, R²=0.9690
  => R²=0.9599, MSE=0.039848, Time=1289.8ms

[3/24] K=1, Q=0.1, R=0.01, delay=0
  Trial 40: MSE=0.000259, R²=0.9998
  Trial 41: MSE=0.000287, R²=0.9997
  Trial 42: MSE=0.000290, R²=0.9997
  Trial 43: MSE=0.000299, R²=0.9997
  Trial 44: MSE=0.000296, R²=0.9997
  Trial 45: MSE=0.000287, R²=0.9997
  Trial 46: MSE=0.000292, R²=0.9997
  Trial 47: MSE=0.000273, R²=0.9998
  Trial 48: MSE=0.000289, R²=0.9997
  Trial 49: MSE=0.000284, R²=0.9998
  => R²=0.9997, MSE=0.000285, Time=1295.4ms

[4/24] K=1, Q=0.1, R=0.1, delay=0
  Trial 40: MSE=0.007001, R²=0.9936
  Trial 41: MSE=0.006342, R²=0.9938
  Trial 42: MSE=0.007039, R²=0.9923
  Trial 43: MSE=0.007163, R²=0.9920
  Trial 44: MSE=0.006793, R²=0.9924
  Trial 45: MSE=0.007136, R²=0.9922
  Trial 46: MSE=0.006610, R²=0.9929
  Trial 47: MSE=0.006086, R²=0.9946
  Trial 48: MSE=0.006759, R²=0.9935
  Trial 49: MSE=0.006304, R²=0.9950
  => R²=0.9932, MSE=0.006723, Time=1291.6ms

[5/24] K=10, Q=0.01, R=0.01, delay=0
  Trial 40: MSE=0.031833, R²=0.9710
  Trial 41: MSE=0.027267, R²=0.9734
  Trial 42: MSE=0.031546, R²=0.9656
  Trial 43: MSE=0.032277, R²=0.9641
  Trial 44: MSE=0.029722, R²=0.9667
  Trial 45: MSE=0.032459, R²=0.9643
  Trial 46: MSE=0.029066, R²=0.9687
  Trial 47: MSE=0.025829, R²=0.9769
  Trial 48: MSE=0.029835, R²=0.9713
  Trial 49: MSE=0.026947, R²=0.9786
  => R²=0.9701, MSE=0.029678, Time=543.4ms

[6/24] K=10, Q=0.01, R=0.1, delay=0
  Trial 40: MSE=0.085187, R²=0.9224
  Trial 41: MSE=0.073455, R²=0.9284
  Trial 42: MSE=0.076646, R²=0.9165
  Trial 43: MSE=0.078901, R²=0.9122
  Trial 44: MSE=0.074202, R²=0.9170
  Trial 45: MSE=0.078108, R²=0.9142
  Trial 46: MSE=0.073059, R²=0.9214
  Trial 47: MSE=0.063157, R²=0.9435
  Trial 48: MSE=0.080143, R²=0.9230
  Trial 49: MSE=0.082970, R²=0.9341
